kind,entry,high,exit,weekly_fast,weekly_slow,base_cagr_train,base_dd_train,base_sharpe_train,hedge_cagr_train,hedge_dd_train,hedge_sharpe_train,cash_cagr_train,cash_dd_train,cash_sharpe_train,switches_train,weight_train,base_cagr_test,base_dd_test,base_sharpe_test,hedge_cagr_test,hedge_dd_test,hedge_sharpe_test,cash_cagr_test,cash_dd_test,cash_sharpe_test,switches_test,weight_test,hedge_score_train,cash_score_train,winner_train,score
drawdown,0.08,0.12,0.04,0,0,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,0.06327906456830873,-0.22694700357185493,0.29113599031620513,0.012155326984230663,-0.11496684434898158,0.09152018952540228,31,0.45279321216359536,0.15088854209685298,-0.2818809084031357,0.6433659909146764,-0.10899616283111369,-0.34620820516479645,-0.6590664305125045,-0.01891084421293504,-0.07102926496900425,-0.17520513700412946,28,0.4242154065620542,0.4983286607712242,0.5847469512020586,cash,0.5847469512020586
drawdown,0.08,0.12,0.02,0,0,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,0.05394237979880073,-0.23094903259970528,0.24767415743052346,0.005865607461279898,-0.1164887149987307,0.013617716934424345,33,0.45397780690338685,0.15088854209685298,-0.2818809084031357,0.6433659909146764,-0.11129751670768778,-0.35090327867911936,-0.6928379025046216,-0.020543325287420255,-0.07102926496900408,-0.20771887101860656,28,0.4302781740370899,0.4896582893586198,0.580080220790834,cash,0.580080220790834
drawdown,0.05,0.12,0.04,0,0,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,0.05350690923761153,-0.23150512800186268,0.24440669246538732,0.005339566578188459,-0.11804397848782838,-0.0024352238024160644,37,0.45404828920494805,0.15088854209685298,-0.2818809084031357,0.6433659909146764,-0.12093116939237386,-0.3700897794803836,-0.806048355267925,-0.02881835330883109,-0.07440824875407809,-0.34554158172010013,40,0.43402282453637664,0.48888445867586783,0.5782619368601906,cash,0.5782619368601906
drawdown,0.05,0.12,0.02,0,0,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,0.04367580534566151,-0.2413703214938011,0.1944347350632875,-0.0011861588063848405,-0.1250438059300636,-0.10105931923658626,37,0.4560646329941692,0.15088854209685298,-0.2818809084031357,0.6433659909146764,-0.11420576260630982,-0.35677465177024364,-0.7735113828242783,-0.02306420433215417,-0.0650765661916809,-0.3066725761321296,32,0.44204707560627676,0.4741037132379544,0.5679992467256687,cash,0.5679992467256687
drawdown,0.1,0.12,0.04,0,0,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,0.06066674812342726,-0.22964848318183445,0.27540841299965446,0.010242882123058294,-0.13497695336866017,0.07654686805431501,28,0.44668498724082195,0.15088854209685298,-0.2818809084031357,0.6433659909146764,-0.11024378058783402,-0.34875889298679097,-0.6579783401305693,-0.019819953595045237,-0.07796651824034034,-0.17590919664923163,27,0.4222539229671897,0.4943210229388039,0.5637806197517937,cash,0.5637806197517937
drawdown,0.1,0.12,0.02,0,0,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,0.053437773153683754,-0.23755990095165247,0.2401324488873708,0.005358210601789093,-0.13648088987960622,0.0188078115950282,30,0.44771732863103975,0.15088854209685298,-0.2818809084031357,0.6433659909146764,-0.1125386875268452,-0.3534174704799797,-0.6905300649624913,-0.021449352291841917,-0.07796651824034018,-0.206573003643456,27,0.4283166904422254,0.48279511768411415,0.5598343474802131,cash,0.5598343474802131
drawdown,0.08,0.15,0.04,0,0,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,0.04769759247501487,-0.2377123891851622,0.2177701714520492,0.0026602115687539563,-0.16222762036754168,0.0064728844422065335,30,0.43629557759015947,0.15088854209685298,-0.2818809084031357,0.6433659909146764,-0.09805119130115741,-0.3300226215539801,-0.5924777732974451,-0.010460080410038652,-0.06581858364004778,-0.06658428003117334,13,0.4172610556348074,0.47977253911127,0.53273861747576,cash,0.53273861747576
drawdown,0.08,0.15,0.02,0,0,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,0.0385284898498352,-0.24546379089913045,0.17333156714101605,-0.0035511666954200494,-0.16222762036754168,-0.06675163980522361,32,0.43748017232995096,0.15088854209685298,-0.2818809084031357,0.6433659909146764,-0.10040910220226829,-0.3311562095891058,-0.626699876229905,-0.012121214192670593,-0.06581858364004767,-0.08879314254064005,13,0.42332382310984307,0.4674365860847119,0.529632928343673,cash,0.529632928343673
drawdown,0.05,0.15,0.04,0,0,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,0.03809998471369258,-0.2459995748055961,0.16961243118148794,-0.004074351266790399,-0.16349941413208124,-0.08088462583284553,36,0.43755065463151216,0.15088854209685298,-0.2818809084031357,0.6433659909146764,-0.11027950714692325,-0.35151410477747513,-0.7452897864501066,-0.020541482466178096,-0.06823980728002571,-0.19302646194353926,25,0.4270684736091298,0.46668654961017497,0.5280995422934482,cash,0.5280995422934482
drawdown,0.05,0.15,0.02,0,0,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,0.028438108093314984,-0.25550444013381496,0.11813673146961148,-0.01052172651867428,-0.16425080391560776,-0.16978642845785757,36,0.4395669984207333,0.15088854209685298,-0.2818809084031357,0.6433659909146764,-0.10338881982730397,-0.3373860479134054,-0.7086925459396591,-0.014686338780381947,-0.05979357779409966,-0.14270982320875394,17,0.43509272467902993,0.4523507459717673,0.5241244648839798,cash,0.5241244648839798
weekly,0.0,0.08,0.0,10,20,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,-0.08579683859194837,-0.3925170528053551,-0.3426733695924836,-0.09639874697928608,-0.4214653084270686,-0.42955383197678876,56,0.20505168509144464,0.15088854209685298,-0.2818809084031357,0.6433659909146764,0.08011974933136967,-0.2409805450668222,0.48199904891314715,0.09999371541203184,-0.2409805450668222,0.5362331869637664,21,0.08592000999614732,0.25822065995759547,0.22397145014221312,hedge,0.25822065995759547
weekly,0.0,0.08,0.0,5,30,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,-0.09699301429817686,-0.4106530202726142,-0.43110614321141116,-0.10417474729456228,-0.42324465958490365,-0.4967200195317374,66,0.21212943966136077,0.15088854209685298,-0.2818809084031357,0.6433659909146764,0.07976604079632543,-0.24098054506682215,0.47851579805089284,0.0998639833323477,-0.2409805450668221,0.5342808546244342,23,0.08253199287774504,0.23448660463722212,0.21830409882673996,hedge,0.23448660463722212
weekly,0.0,0.04,0.0,10,20,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,-0.096457717316213,-0.42959817976908854,-0.42269644696031794,-0.10320791785789152,-0.43057502203058773,-0.5182594101501523,77,0.23961189289700496,0.15088854209685298,-0.2818809084031357,0.6433659909146764,0.05783245846725482,-0.24098054506682226,0.3942766454209178,0.08456865355838461,-0.2409805450668221,0.48115601797168606,31,0.10921441735997583,0.2158090936317297,0.21145715109939126,hedge,0.2158090936317297
weekly,0.0,0.08,0.0,3,30,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,-0.10553795620385525,-0.4271370209402387,-0.4793399071824392,-0.10959501180604181,-0.44011490373625034,-0.5380525889196293,73,0.21273483487169037,0.15088854209685298,-0.2818809084031357,0.6433659909146764,0.09842477304539998,-0.24098054506682215,0.5380388608234385,0.11182076638505978,-0.24937992398776554,0.5703055360795619,26,0.09043226829242895,0.21373013301675842,0.1987237224196535,hedge,0.21373013301675842
weekly,0.0,0.08,0.0,10,30,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,-0.11831242985082663,-0.4518664657633539,-0.5106379119429164,-0.11789364895463239,-0.46369586769002963,-0.5644519215427309,57,0.2106290494759706,0.15088854209685298,-0.2818809084031357,0.6433659909146764,0.0911555932426491,-0.2409805450668222,0.5117685729793965,0.10808864901381965,-0.24098054506682187,0.5566901105488621,16,0.07519562772681362,0.18261345137015755,0.17099343989157892,hedge,0.18261345137015755
weekly,0.0,0.04,0.0,5,30,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,-0.11396433492466951,-0.46468918134650783,-0.536813685580724,-0.11520205648113957,-0.4562099214351419,-0.6167681849942659,91,0.24911441231364884,0.15088854209685298,-0.2818809084031357,0.6433659909146764,0.05295720068720888,-0.2409805450668222,0.377033319377239,0.0810956994036881,-0.2409805450668221,0.4691936158518578,33,0.10810742213938379,0.17196478325008216,0.17982518238321307,cash,0.17982518238321307
weekly,0.0,0.08,0.0,5,10,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,-0.11746004367056101,-0.45708726942208183,-0.5214597063264402,-0.11819704750551546,-0.46841570482945316,-0.5576582351955508,86,0.20720175710785788,0.15088854209685298,-0.2818809084031357,0.6433659909146764,0.05280473578090483,-0.24126025384533456,0.37903168924191566,0.07982613193085786,-0.24098054506682204,0.4635962840153307,41,0.10984535908035445,0.1778188408015624,0.16612190347671385,hedge,0.1778188408015624
weekly,0.0,0.04,0.0,3,30,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,-0.1164836398178315,-0.47020998350271953,-0.5354291542703267,-0.11666708434219414,-0.45892348714776693,-0.6341765095393781,95,0.2520962333794918,0.15088854209685298,-0.2818809084031357,0.6433659909146764,0.06647913785048043,-0.24098054506682215,0.4171098626059585,0.08989409401571158,-0.2409805450668221,0.49504073087638156,38,0.1198229588596062,0.16518432864728946,0.17637910274006074,cash,0.17637910274006074
weekly,0.0,0.06,0.0,10,20,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,-0.11903657692790126,-0.46677622666453716,-0.5213396562087607,-0.11849779402316052,-0.4605980396306097,-0.5779798419082647,75,0.2186686631345433,0.15088854209685298,-0.2818809084031357,0.6433659909146764,0.04952308501668645,-0.2409805450668221,0.36149070360881885,0.07920866614221789,-0.2409805450668222,0.4599037542957905,24,0.09800487051865427,0.16734161693043695,0.1737891954167348,cash,0.1737891954167348
weekly,0.0,0.08,0.0,5,20,-0.1461354122911585,-0.6205684259133455,-0.2814756813242085,-0.13003060957788126,-0.4687811725361192,-0.5856949601607888,-0.1256406846834549,-0.4659345749245201,-0.6066685804696154,70,0.20686020016394735,0.15088854209685298,-0.2818809084031357,0.6433659909146764,0.05712509044472802,-0.24487632271191656,0.40123108453891143,0.08365948701801795,-0.2520949923883339,0.4828201962936409,28,0.09632940949842247,0.15983965473386494,0.16488121479267717,cash,0.16488121479267717
