kind,lookback,threshold,regime,confirm,hold,sl,tp,cagr_train,worst_train,dd_train,sharpe_train,trades_train,win_train,cagr_test,worst_test,dd_test,sharpe_test,trades_test,win_test,score
failed_rebound,5,0.04,200,1.25,3,0.05,0.08,0.019669926935212523,-0.022931990140165226,-0.14353106060235582,0.03862839604095092,32.0,0.53125,-0.00044688877390186565,-0.021936413081489636,-0.042077832595604325,0.06096182883947279,5.0,0.6,-0.010418578809233796
failed_rebound,3,0.02,200,1.25,3,0.05,0.08,-0.02200034445532295,-0.039843629736476704,-0.23115424844807275,-0.11673892210768155,61.0,0.4262295081967213,0.013777371767254798,-0.0022192945399246433,-0.1089879154041507,0.2932686803373967,20.0,0.55,-0.09729974488349337
failed_rebound,5,0.04,100,1.25,1,0.05,0.08,-0.007527083098631093,-0.039648640470779095,-0.14761836446410254,-0.44641343427644065,28.0,0.4642857142857143,-0.018434711095839884,-0.02098290073981901,-0.07633740030077041,-0.4085103134288736,7.0,0.42857142857142855,-0.11139368935612282
shock,5,0.04,200,1.25,3,0.05,0.08,-0.030924541226980296,-0.06925883709622305,-0.2568128278250434,-0.11734768809909674,20.0,0.35,0.026799472433911786,0.01797529843864476,-0.06908525694692824,0.36428771474538046,7.0,0.42857142857142855,-0.11272990139810565
failed_rebound,5,0.04,100,1.25,3,0.05,0.08,-0.016997289005138416,-0.042283489890168724,-0.19512888220641378,-0.3360565286550605,28.0,0.4642857142857143,-0.008205073453935008,-0.022133365108237046,-0.056518964264857974,-0.09404346968501909,7.0,0.5714285714285714,-0.11618798885500094
failed_rebound,3,0.02,100,1.25,3,0.05,0.08,-0.03449972769423432,-0.0449748697259974,-0.27722403693637654,-0.1300580696427571,65.0,0.4307692307692308,0.00015719526743951384,-0.0022192945399246433,-0.1398493612274267,0.11964218475186075,20.0,0.5,-0.12331444737474201
failed_rebound,5,0.04,200,1.25,1,0.05,0.08,-0.02073245052292111,-0.055232284754797356,-0.19048701530921486,-0.5525536428639632,32.0,0.43749999999999994,0.0005137939174787443,-0.0043471839565947246,-0.04262084638812719,0.06644295173107415,5.0,0.6,-0.1512372507798193
shock,3,0.04,200,1.25,1,0.05,0.08,-0.04598596858691795,-0.06358646969820336,-0.26060158303025666,-0.27614511590116675,19.0,0.42105263157894735,0.01720886906148511,0.016320073957628356,-0.055355988889243146,0.3410294521322622,6.0,0.6666666666666666,-0.1525581317296571
shock,5,0.04,200,1.25,1,0.05,0.08,-0.04153112462908842,-0.06779733052814718,-0.273227908483033,-0.29615815701002035,21.0,0.2857142857142857,0.024176397361685198,0.016320073957628356,-0.055355988889243146,0.41815395782880005,7.0,0.7142857142857143,-0.15426182530134974
failed_rebound,3,0.02,200,1.25,1,0.05,0.08,-0.0480456141761032,-0.06662660903679418,-0.2551989996346114,-0.3238076428180218,62.0,0.43548387096774194,0.014551527631760153,0.01444802337258233,-0.08773901019496416,0.32681155813733187,20.0,0.6,-0.1604165105074593
shock,5,0.02,200,1.25,3,0.05,0.08,-0.05302983940299061,-0.08108103950461387,-0.27217748201877684,-0.26391162271301355,25.0,0.32,0.03303471814282288,0.025270738356057088,-0.09252962212177324,0.38518191159153337,11.0,0.45454545454545453,-0.16066095331463687
shock,3,0.04,200,1.25,3,0.05,0.08,-0.05355601898588053,-0.09490520262162339,-0.2761613764141477,-0.28977033695353355,19.0,0.42105263157894735,0.03152385585674755,0.01797529843864476,-0.06908525694692824,0.4493474791870248,6.0,0.5,-0.1660619136324475
failed_rebound,3,0.04,200,1.25,3,0.05,0.08,-0.04794874498058849,-0.07252884853095276,-0.22997539338410433,-0.4242970852744023,22.0,0.36363636363636365,0.005927385565418719,0.0,-0.008467432507760442,0.2640719169844464,2.0,1.0,-0.16908715611777492
shock,5,0.02,200,1.25,1,0.05,0.08,-0.05466153390062184,-0.06492460677798861,-0.3044042811250377,-0.4020284497672225,26.0,0.2692307692307692,0.024319688230988734,0.011449548190544556,-0.0670268638764196,0.32029726676394193,11.0,0.6363636363636364,-0.19106687164696465
failed_rebound,3,0.04,100,1.25,3,0.05,0.08,-0.058444788276896364,-0.09352093512356852,-0.23668605207012056,-0.49049397171180453,22.0,0.3181818181818182,0.005927385565418719,0.0,-0.008467432507760442,0.2640719169844464,2.0,1.0,-0.19119039705119717
shock,3,0.02,200,1.25,1,0.05,0.08,-0.06633418219775145,-0.07035006519099263,-0.3152015616067089,-0.41929060177716543,35.0,0.4,0.013162955832693557,0.007906906380939382,-0.07450743791710979,0.2337054731828779,10.0,0.6,-0.2080281628660035
failed_rebound,5,0.02,200,1.25,3,0.05,0.08,-0.07880254060973929,-0.08873323638414055,-0.3596330716780264,-0.4494190492109612,69.0,0.4057971014492754,0.049561944658136126,0.037016513004951346,-0.08940636937362795,0.6571173818558855,18.0,0.7777777777777778,-0.23612366591089007
shock,5,0.04,100,1.25,1,0.05,0.08,-0.060974744792491264,-0.10924649985887913,-0.26579768139959237,-0.4058071687734568,21.0,0.2857142857142857,0.024176397361685198,0.016320073957628356,-0.055355988889243146,0.41815395782880005,7.0,0.7142857142857143,-inf
shock,5,0.02,100,1.25,3,0.05,0.08,-0.07515619808663354,-0.12193956613420676,-0.27732325661058416,-0.3825394177801825,26.0,0.3076923076923077,0.051203456066682085,0.04079869792958868,-0.08258584963294896,0.6030627850283643,12.0,0.5833333333333334,-inf
shock,5,0.02,100,1.25,1,0.05,0.08,-0.07420691754765085,-0.10650150800336122,-0.30018023898737733,-0.5104766678629935,26.0,0.2692307692307692,0.03764578333179458,0.03718982827143291,-0.0659409854229312,0.4908045726832201,12.0,0.6666666666666666,-inf
continuation,3,0.02,100,1.25,1,0.05,0.08,-0.14286854710221325,-0.2116911743529437,-0.5471115820128543,-0.5185368893051988,147.0,0.46258503401360546,-0.10560836367277182,-0.13353750958258415,-0.3036692952693573,-0.8889036396585206,55.0,0.38181818181818183,-inf
continuation,3,0.02,100,1.25,3,0.05,0.08,-0.09405369151038745,-0.2004349611553471,-0.48893416880931057,-0.13026086893016675,144.0,0.4722222222222222,-0.08216061509257,-0.08694154058521109,-0.35763452253033656,-0.4289754874187127,53.0,0.39622641509433965,-inf
continuation,3,0.04,100,1.25,1,0.05,0.08,-0.15830856001768473,-0.28397238013340265,-0.45334228692395045,-0.7420579878477171,62.0,0.4032258064516129,-0.033308503240535914,-0.0715109188514309,-0.1106517345262612,-0.3777958034341008,15.0,0.3333333333333333,-inf
continuation,3,0.04,100,1.25,3,0.05,0.08,-0.13066998160924104,-0.2465026607942702,-0.41299925375824587,-0.42112928023712476,62.0,0.3709677419354839,-0.022215415140910466,-0.08182358562635306,-0.14026963044538537,0.013491811375946239,15.0,0.4,-inf
continuation,3,0.02,200,1.25,1,0.05,0.08,-0.18817084367744935,-0.26195821834686617,-0.6061032366589554,-0.7826009091498565,142.0,0.4084507042253521,-0.054719142498808104,-0.07843451839156856,-0.23665075686161252,-0.44497055222669135,46.0,0.45652173913043476,-inf
continuation,3,0.02,200,1.25,3,0.05,0.08,-0.09975500101717055,-0.2067973758213787,-0.5014615805625002,-0.1666130842163999,138.0,0.4782608695652174,-0.035864682074581045,-0.041004669489006496,-0.2702969702358564,-0.15044297674400592,44.0,0.4318181818181818,-inf
continuation,5,0.04,200,1.25,3,0.05,0.08,-0.14016137729248945,-0.25171795212484105,-0.4749118478670846,-0.49554776279603324,59.0,0.3559322033898305,-0.022215415140910466,-0.08182358562635306,-0.14026963044538537,0.013491811375946239,15.0,0.4,-inf
continuation,5,0.04,200,1.25,1,0.05,0.08,-0.14950509281975816,-0.26240146748100546,-0.4573211807147806,-0.7460684683479736,59.0,0.3728813559322034,-0.033308503240535914,-0.0715109188514309,-0.1106517345262612,-0.3777958034341008,15.0,0.3333333333333333,-inf
continuation,5,0.04,100,1.25,3,0.05,0.08,-0.154747216648497,-0.28088963083685614,-0.4631835616206691,-0.5608888231511365,59.0,0.3389830508474576,-0.022215415140910466,-0.08182358562635306,-0.14026963044538537,0.013491811375946239,15.0,0.4,-inf
continuation,5,0.04,100,1.25,1,0.05,0.08,-0.14800263878742254,-0.2593965594163342,-0.4401897224738423,-0.722446981900779,59.0,0.3898305084745763,-0.033308503240535914,-0.0715109188514309,-0.1106517345262612,-0.3777958034341008,15.0,0.3333333333333333,-inf
